"prnrnmc"	"isnrnmc"	"prnr"	"prname"	"isnr"	"type"	"council"	"proc"	"counvte"	"proccde"	"issues"	"intro"	"finact"	"pcom"	"pep"	"pat"	"pbe"	"pbu"	"pcr"	"pcy"	"pcz"	"pdk"	"pee"	"pfi"	"pfr"	"pde"	"pel"	"phu"	"pie"	"pit"	"plv"	"plt"	"plu"	"pmt"	"pnl"	"ppl"	"ppt"	"pro"	"psi"	"psk"	"pes"	"pse"	"puk"	"scom"	"sep"	"sat"	"sbe"	"sbu"	"scr"	"scy"	"scz"	"sdk"	"see"	"sfi"	"sfr"	"sde"	"sel"	"shu"	"sie"	"sit"	"slv"	"slt"	"slu"	"smt"	"snl"	"spl"	"spt"	"sro"	"ssi"	"ssk"	"ses"	"sse"	"suk"	"rp"	"out"
49	131	"n99047"	"CMOfish"	"n99047i2"	"Reg"	"Fish"	"CNS"	"QMV"	1	3	"16-02-99"	"17-12-99"	40	55		90					30			100	0			70	40					30		70				70	30	30	70	0	0	50	0		0	0	75	0	0	100	75	0	0	75	60	0	0	0	0	75	0	100	0	0	0	90	75	75	90	40
49	132	"n99047"	"CMOfish"	"n99047i3"	"Reg"	"Fish"	"CNS"	"QMV"	1	3	"16-02-99"	"17-12-99"	25	100		100					25		90		0			0	25					25		90				90	40	60	80	0	0	50	0		0	0	90	0	75	0	100	0	0	100	100	0	0	0	0	75	0	60	0	0	0	100	75	75	100	40
50	133	"n99050"	"fishbehave"	"n99050i1"	"Reg"	"Fish"	"CNS"	"QMV"	1	1	"19-02-99"	"24-06-99"	100	100		20					20		20	20	20	0		20	0					20		20				20	20	20	80	50	0	60	0		0	0	70	0	60	70	60	80	0	70	80	0	0	0	0	70	0	70	0	0	0	70	60	70	0	30
51	134	"n99056"	"VATlab"	"n99056i1"	"Dir"	"ECOFIN"	"CNS"	"Unan"	2	1	"17-02-99"	"22-10-99"	100	0	40	0					90		20	0	90	90		20	50			0		0		40				90	20	80	40	60	100	100	0		0	0	20	0	20	100	20	50	0	20	60	0	0	85	0	100	0	100	0	0	0	50	20	20	100	40
52	135	"n99072"	"vetprod"	"n99072i1"	"Reg"	"Agri"	"CNS"	"QMV"	1	3	"18-03-99"	"15-06-99"	100	89	67	67					67		67	67	67	67		67	67			67		67		67				67	67	67	75	75	75	75	0		0	0	75	0	75	75	75	75	0	75	75	0	0	75	0	75	0	75	0	0	0	75	75	75	0	89
52	136	"n99072"	"vetprod"	"n99072i2"	"Reg"	"Agri"	"CNS"	"QMV"	1	3	"18-03-99"	"15-06-99"			0	0					0		0	0	0	100		0	0			0		0		100				100	0	0	0	0	50	50	0		0	0	50	0	50	50	50	30	0	50	50	0	0	50	0	50	0	30	0	0	0	30	50	50	50	50
52	137	"n99072"	"vetprod"	"n99072i3"	"Reg"	"Agri"	"CNS"	"QMV"	1	3	"18-03-99"	"15-06-99"			0	0					0		0	0	0	100		0	0			0		0		100				100	0	0	0	0	30	30	0		0	0	30	0	30	30	30	60	0	30	30	0	0	30	0	30	0	60	0	0	0	60	30	30	50	50
53	138	"n99092"	"forest"	"n99092i1"	"Dir"	"Agri"	"CNS"	"QMV"	1	3	"27-05-99"	"22-12-99"	0	0	0	0					100		0	0	0	0		0	0			0		0		0				0	0	0	100	100	0	0	0		0	0	100	0	0	50	50	0	0	50	0	0	0	0	0	50	0	0	0	0	0	0	50	50	0	0
53	139	"n99092"	"forest"	"n99092i2"	"Dir"	"Agri"	"CNS"	"QMV"	1	3	"27-05-99"	"22-12-99"	100	100									100	0	0											100					100	100	100	100	0	0	0		0	0	0	0	100	100	100	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	100	75	0	50
53	140	"n99092"	"forest"	"n99092i3"	"Dir"	"Agri"	"CNS"	"QMV"	1	3	"27-05-99"	"22-12-99"	0	0	0	0					0		0	100	0	100		0	0			0		0		100				100	0	0	50	50	100	50	0		0	0	50	0	50	75	75	100	0	50	50	0	0	0	0	75	0	100	0	0	0	100	50	50	0	100
54	141	"n99116"	"Eurodac"	"n99116i1"	"Reg"	"JHA"	"CNS"	"Unan"	2	1	"26-05-99"	"11-12-00"	100	100	20	100							100	0	20									80		100				0	100		100	100	50	80	0		0	0	0	0	80	100	100	0	0	0	0	0	0	0	0	80	0	80	0	0	0	100	80	0	100	10
55	142	"n99132"	"FYRM"	"n99132i1"	"Reg"	"General"	"CNS"	"Unan"	2	1	"23-06-99"	"15-11-99"	100	100	100	100					100		100	100	100	0		100	100			100		100		100				100	100	100	80	0	50	50	0		0	0	50	0	50	50	50	100	0	50	50	0	0	50	0	50	0	50	0	0	0	50	50	50		80
56	143	"n99138"	"fishcontro"	"n99138i1"	"Reg"	"Fish"	"CNS"	"QMV"	1	2	"12-07-99"	"16-12-99"	100	100		40					20		40	20	40	0		40	5					10		20				20	30	40	70	0	0	90	0		0	0	90	0	90	90	90	90	0	90	90	0	0	0	0	90	0	90	0	0	0	90	90	90	0	80
56	144	"n99138"	"fishcontro"	"n99138i2"	"Reg"	"Fish"	"CNS"	"QMV"	1	2	"12-07-99"	"16-12-99"	0	0		0					50		0	100	0			90						50		100				100	0	50	80	0	0	80	0		0	0	80	0	80	90	80	0	0	80	0	0	0	0	0	80	0	100	0	0	0	90	80	80		40
57	145	"n99151"	"budget"	"n99151i1"	"Reg"	"ECOFIN"	"CNS"	"Unan"	2	1	"14-07-99"	"26-09-00"	100	70	25	70					25		25	90	25	70		70	70			70		0		70				70	25	0	60	50	60	60	0		0	0	60	0	60	80	70	60	0	60	60	0	0	60	0	70	0	60	0	0	0	60	60	80	70	50
58	146	"n99154"	"civiljudge"	"n99154i1"	"Reg"	"JHA"	"CNS"	"Unan"	2	2	"14-07-99"	"22-12-00"	73	73	73	73					73		73	100	55	73		0	73			36		73		73				73	73	18	70	90	50	50	0		0	0	50	0	50	50	50	40	0	80	40	0	0	50	0	50	0	40	0	0	0	40	50	70	73	73
58	147	"n99154"	"civiljudge"	"n99154i2"	"Reg"	"JHA"	"CNS"	"Unan"	2	2	"14-07-99"	"22-12-00"	100		50	50					25		25	100	50	100		50	50			50		50		50				50	25	0	90	0	40	40	0		0	0	50	0	70	70	50	70	0	40	40	0	0	40	0	40	0	40	0	0	0	40	70	90	50	50
59	148	"n99163"	"fishdialog"	"n99163i1"	"Reg"	"Fish"	"CNS"	"QMV"	1	2	"22-07-99"	"27-03-00"	100	100	100	100					50		100	35	0	100		75	60			100		35		75				75	100	35	100	0	90	100	0		0	0	50	0	90	50	100	90	0	80	70	0	0	0	0	80	0	80	0	0	0	80	90	50	35	100
59	149	"n99163"	"fishdialog"	"n99163i2"	"Reg"	"Fish"	"CNS"	"QMV"	1	2	"22-07-99"	"27-03-00"	100	100	50	50					50		50	0	100	50		0	50			50		0		0				0	0	0	80	0	50	50	0		0	0	100	0	80	80	80	80	0	90	80	0	0	0	0	90	0	80	0	0	0	80	100	80	50	50
60	150	"n99192"	"employctte"	"n99192i1"	"Dec"	"Employ"	"CNS"	"QMV(10)"	1	2	"08-09-99"	"24-01-00"	100			92					85		93	83	85	80		93	75			93		83		93				67	93	85	90	0	0	30	0		0	0	30	0	10	70	50	70	0	20	70	0	0	50	0	40	0	30	0	0	0	90	30	50	0	88
